                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2631,                 1.1981,                 1.1545,                0.62559,                0.35771,                0.34413,                0.21668,                 1.2528,                  1.124,                 1.1592,              0.0033327,              0.0033327,              0.0033327
                      1,                 1.2904,                 1.0769,                 1.1761,                0.57246,                0.33516,                0.30172,                0.19755,                 1.1912,                 1.0379,                 1.1529,               0.006534,               0.006534,               0.006534
                      2,                 1.3636,                 1.1994,                 1.2428,                0.67556,                0.29425,                0.27899,                0.18104,                 1.1933,                 1.0511,                 1.1689,              0.0096034,              0.0096034,              0.0096034
                      3,                 1.3702,                 1.2119,                 1.2587,                0.50896,                0.35668,                0.31177,                0.20152,                 1.1604,                0.97959,                 1.1478,               0.009406,               0.009406,               0.009406
                      4,                 1.3154,                  1.115,                 1.2214,                 0.5308,                 0.3965,                0.32947,                 0.2205,                 1.1407,                0.93884,                 1.1332,               0.009406,               0.009406,               0.009406
                      5,                 1.2789,                 1.0466,                 1.1953,                0.53564,                0.39869,                0.33923,                0.22839,                 1.1293,                0.91891,                  1.126,               0.009208,               0.009208,               0.009208
                      6,                 1.2552,                0.99933,                 1.1784,                0.54985,                0.41675,                0.34944,                0.23393,                 1.1245,                0.90885,                 1.1232,                0.00901,                0.00901,                0.00901
                      7,                 1.2368,                0.96463,                 1.1645,                 0.5686,                0.41602,                0.35996,                0.23939,                 1.1209,                0.90069,                   1.12,               0.008812,               0.008812,               0.008812
                      8,                 1.2228,                0.93576,                 1.1544,                0.58296,                0.41069,                 0.3668,                0.24499,                  1.118,                0.89361,                 1.1175,               0.008614,               0.008614,               0.008614
                      9,                 1.2104,                0.91157,                 1.1473,                0.59292,                 0.4098,                0.36996,                0.24929,                 1.1159,                0.88713,                 1.1159,               0.008416,               0.008416,               0.008416
                     10,                 1.2006,                0.88907,                 1.1406,                0.59814,                0.41287,                0.37239,                0.25307,                  1.114,                0.88314,                 1.1146,               0.008218,               0.008218,               0.008218
                     11,                 1.1919,                0.87047,                  1.135,                0.61331,                0.41296,                0.37626,                0.25705,                 1.1122,                0.88022,                 1.1135,                0.00802,                0.00802,                0.00802
                     12,                 1.1833,                0.85315,                 1.1284,                0.62839,                0.41386,                0.37939,                0.25961,                 1.1105,                0.87802,                 1.1123,               0.007822,               0.007822,               0.007822
